Donau Wien;DOW;DOW@nomail.com
Lia;LIA;LIA@nomail.com
Ister;IST;IST@nomail.com
Donaubund;DBU;DBU@nomail.com
CrossFit96 Treubach;CF96;CF96@nomail.com
Ruder Gesellschaft Grünau;RGG;RGG@nomail.com
Mondsee;MON;MON@nomail.com
Garagen Gym Affenberg;GGA;GGA@nomail.com
Pirat;PIR;PIR@nomail.com
Steiner Ruder Club;STE;STE@nomail.com
Wiking Linz;WIL;WIL@nomail.com
CVK Brno;CVK;CVK@nomail.com
VK Zagreb;VKZ;VKZ@nomail.com
VVF Ravalico Triest;VVF;VVF@nomail.com
Friesen Wien;FRI;FRI@nomail.com
Donauhort;DHO;DHO@nomail.com
VK Velenje;VKV;VKV@nomail.com
Budapest;FEC;FEC@nomail.com
Kein Verein;NN;NN@nomail.com
Győri Vízügy-Spartacus EK;GYÖ;GYÖ@nomail.com
WSV Ottensheim;WSV;WSV@nomail.com
RGM 72 München;M72;M72@nomail.com
