headerCountdown;DIE CHALLENGE
headerDay;Tage
headerHour;Stunden
headerMinutes;Minuten
headerSeconds;Sekunden
headerStarts;STARTET
headerEnds;ENDET
homeBtn;Start
homeHeadline;Willkommen zur ERGO-Challenge Seite des Linzer Rudervereins ISTER
homeTextOne;Breitensport und Rennsport bestehen schon lange nebeneinander, oft jedoch teilt dieser Umstand die Mitglieder im Verein. Bei einer Challenge kann jeder, unabhängig von dieser Zuordnung teilnehmen. Bei den Reihungen in den Ergebnislisten findet man sich in bekannter Gesellschaft von Freunden, Bekannten oder auch Neueinsteigern verschiedenster Vereine.
homeTextTwo;Die veranstaltete Challenge beschränkt sich nicht auf Rudervereine allein. Jeder der dabei sein will, ist willkommen und findet seinen Platz. Teilnehmer aus aller Welt sind so willkommen.
homeTextThree;Als veranstaltender Verein „Linzer Ruderverein ISTER“ haben diese Veranstaltungen natürlich Bezug zum Rudern, insbesondere die Winterchallenge an den Concept2 Ergometern wird auch an die Fitness Clubs getragen.
ergoHeadline;30 (dirty) K Ergo Challenge
ergoSubheadlineOne;Allgemeines
ergoBtn;Ergo Challenge
ergoTextOne;Bei diesem Bewerb gibt es weder etwas zu gewinnen, noch erhält man eine Medaille. Alle Ruderer, weiblich und männlich aus Vereinen oder privat, sind startberechtigt und als Administrator vertrauen wir auf die Richtigkeit der gelieferten Daten.
ergoSubheadlineTwo;Bewerb
ergoTextTwo;Die Teilnehmer sollen versuchen in der Zeit von 30 Minuten so viele Meter am Ergometer zurück zu legen, als es ihnen möglich ist. Es gibt über den Winter verteilt 6 Termine, wobei die 4 besten Ergebnisse gewertet werden. Die Termine sind immer von Donnerstag 18:00 Uhr bis Montag 18:00 Uhr berechnet:
session;Session
ergoSubheadlineThree;Ziel
ergoTextThree;Bei vier Termine zusammengerechnet, mindestens 30 000 Meter (Männer) oder 26 000 (Frauen) zu rudern und dabei mit Ruderkollegen aus Österreich und der Welt messen.
ergoSubheadlineFour;Daten
ergoTextFour;Um an der Challenge teilnehmen zu können, muss man sich mit einer E-Mail auf dieser Website registrieren und weitere persönliche Daten wie Name, Alter, Gewicht, etc. für die Auswertung der Challenge angeben (Das Gewicht dient lediglich zur Berechnung und scheint nicht in der Auswertung auf). Ihre Daten werden vertraulich gespeichert und nicht an Dritte weitergegeben. Bei Fragen wenden Sie sich an challenge@ister.at. Die Reihung erfolgt gemäß der Concept2 Alterseinteilung:
ergoTextFourClasslist;"SchülerInnen: bis 14 Jahre;JuniorenInnen: 15 – 16 Jahre;JuniorenInnen: 17 – 18 Jahre;Allgemeine Klasse: 19 – 29 Jahre;Masters A: 30 – 39 Jahre;Masters B: 40 – 49 Jahre;Masters C: 50 – 59 Jahre;Masters D: 60 – 69 Jahre;Masters E: 70 – 79 Jahre;Masters F: 80 – 89 Jahre"
clubRankingHeadline;30K Club Ranking Liste
clubRankingBtn;30K Club Ranking
participantRankingBtn;30K Teilnehmer Ranking
rankingSubheadline;Wählen Sie Ihre Filteroptionen
rankingYear;Jahr
rankingResult;Durchgänge
distanceBtn;Distanz hochladen
rankingAll;Alle
rankingSequence;Sortierung
rankingDownloadBtn;pdf erstellen
clubRankingEmailNameBtn;Email - Name Liste erstellen
participantRankingHeadline;30K Teilnehmer Ranking Liste
participantRankingSubheadline;Wählen Sie Ihre Filteroptionen
rankingSequenceContent;"Alphabetisch;Top Down;Kategorien"
distanceClubHeadlineOne;Überprüfen Sie die Struktur
distanceClubSubheadlineOne;So soll die Excel Tabelle aussehen (.xlsx Format)
distanceClubSubmitOne;Verstanden
distanceClubHeadlineTwo;Wählen Sie die Datei aus
distanceClubSelectTwo;Wähle Excel Datei
distanceBackBtn;Schritt zurück
distanceHeadlineThree;Hochladen zum Server
distanceClubSuccessThree;Ihre Excel Datei wurde erfolgreich hochgeladen
distanceClubErrorThree;Excel Daten ungültig
distanceParticipantHeadlineOne;Tragen Sie die erreichte Distanz ein
distance;Distanz
distanceParticipantErrorMsg;Ungültige Distanz
distanceParticipantHeadlineTwo;Wählen Sie das Beweisbild aus
distanceParticipantSelectionTwo;Beweisbild auswählen
distanceSubmitBtn;Weiter
loginBtn;Login
distanceParticipantSuccessThree;Ihre Distanz wurde erfolgreich hochgeladen
pdfEmail;Email
pdfName;Name
pdfClub;Club
pdfShortcut;Kürzel
pdfParticipant;Teilnehmer
pdfParticipantCount;Anzahl
pdfTotal;Gesamt
pdfRating;Wertung
pdfRound;Runde
pdfMeter;Meter
pdfAthletes;Athleten
pdfCat;Kat.
pdfClass;Klasse
male;männlich
female;weiblich
categories;Kategorien
resultPerWeekend;Ergebnis pro Wochenende
pdfStatistics;Statistiken
